pin_per_tone_dbm,fund_avg_dbm,im3_avg_dbm,iip3_dbm,oip3_dbm
-45,-25.86690000,-92.52360000,-11.67160000,7.46148100
-42.5,-23.37000000,-84.75550000,-11.80720000,7.32281700
-40,-20.87560000,-76.78590000,-12.04480000,7.07960200
